Family,Father,Mother,Female,Height,Kids
1,78.5,67,0,73.2,4
1,78.5,67,1,69.2,4
1,78.5,67,1,69,4
1,78.5,67,1,69,4
2,75.5,66.5,0,73.5,4
2,75.5,66.5,0,72.5,4
2,75.5,66.5,1,65.5,4
2,75.5,66.5,1,65.5,4
3,75,64,0,71,2
3,75,64,1,68,2
4,75,64,0,70.5,5
4,75,64,0,68.5,5
4,75,64,1,67,5
4,75,64,1,64.5,5
4,75,64,1,63,5
5,75,58.5,0,72,6
5,75,58.5,0,69,6
5,75,58.5,0,68,6
5,75,58.5,1,66.5,6
5,75,58.5,1,62.5,6
5,75,58.5,1,62.5,6
6,74,68,1,69.5,1
7,74,68,0,76.5,6
7,74,68,0,74,6
7,74,68,0,73,6
7,74,68,0,73,6
7,74,68,1,70.5,6
7,74,68,1,64,6
8,74,66.5,1,70.5,3
8,74,66.5,1,68,3
8,74,66.5,1,66,3
9,74.5,66,1,66,1
10,74,65.5,1,65.5,1
11,74,62,0,74,8
11,74,62,0,70,8
11,74,62,1,68,8
11,74,62,1,67,8
11,74,62,1,67,8
11,74,62,1,66,8
11,74,62,1,63.5,8
11,74,62,1,63,8
12,74,61,1,65,1
14,73,67,0,68,2
14,73,67,0,67,2
15,73,66.5,0,71,3
15,73,66.5,0,70.5,3
15,73,66.5,1,66.7,3
16,73,65,0,72,9
16,73,65,0,70.5,9
16,73,65,0,70.2,9
16,73,65,0,70.2,9
16,73,65,0,69.2,9
16,73,65,1,68.7,9
16,73,65,1,66.5,9
16,73,65,1,64.5,9
16,73,65,1,63.5,9
17,73,64.5,0,74,6
17,73,64.5,0,73,6
17,73,64.5,0,71.5,6
17,73,64.5,0,62.5,6
17,73,64.5,1,66.5,6
17,73,64.5,1,62.3,6
18,73,64,1,66,3
18,73,64,1,64.5,3
18,73,64,1,64,3
19,73.2,63,1,62.7,1
20,72.7,69,0,73.2,8
20,72.7,69,0,73,8
20,72.7,69,0,72.7,8
20,72.7,69,1,70,8
20,72.7,69,1,69,8
20,72.7,69,1,68.5,8
20,72.7,69,1,68,8
20,72.7,69,1,66,8
21,72,68,0,73,3
21,72,68,1,68.5,3
21,72,68,1,68,3
22,72,67,0,73,3
22,72,67,0,71,3
22,72,67,1,67,3
23,72,65,0,74.2,7
23,72,65,0,70.5,7
23,72,65,0,69.5,7
23,72,65,1,66,7
23,72,65,1,65.5,7
23,72,65,1,65,7
23,72,65,1,65,7
24,72,65.5,1,65.5,1
25,72,64,1,66,2
25,72,64,1,63,2
26,72,63,0,70.5,5
26,72,63,0,70.5,5
26,72,63,0,69,5
26,72,63,1,65,5
26,72,63,1,63,5
27,72,63,0,69,3
27,72,63,0,67,3
27,72,63,1,63,3
28,72,63,0,73,6
28,72,63,0,67,6
28,72,63,1,70.5,6
28,72,63,1,70,6
28,72,63,1,66.5,6
28,72,63,1,63,6
29,72.5,63.5,1,67.5,3
29,72.5,63.5,1,67.2,3
29,72.5,63.5,1,66.7,3
30,72,62,1,64,1
31,72.5,62,0,71,6
31,72.5,62,0,70,6
31,72.5,62,0,70,6
31,72.5,62,1,66,6
31,72.5,62,1,65,6
31,72.5,62,1,65,6
32,72,62,0,74,5
32,72,62,0,72,5
